iter	Passed	Remaining
0	156	156760
1	158	79036
2	160	53287
3	161	40311
4	164	32647
5	167	27715
6	169	24009
7	171	21307
8	173	19125
9	175	17335
10	176	15900
11	179	14765
12	181	13746
13	182	12857
14	184	12123
15	186	11461
16	187	10866
17	189	10358
18	191	9905
19	193	9472
20	194	9077
21	196	8732
22	198	8417
23	199	8120
24	201	7841
25	203	7625
26	205	7395
27	206	7172
28	208	6987
29	211	6826
30	213	6664
31	215	6509
32	216	6358
33	218	6211
34	220	6090
35	222	5957
36	223	5826
37	225	5714
38	228	5619
39	229	5513
40	231	5407
41	233	5332
42	235	5245
43	237	5159
44	239	5085
45	241	5004
46	242	4925
47	244	4853
48	246	4791
49	248	4721
50	250	4658
51	252	4604
52	254	4541
53	255	4477
54	257	4432
55	259	4377
56	261	4318
57	262	4268
58	265	4230
59	267	4187
60	269	4143
61	271	4103
62	272	4057
63	274	4011
64	276	3975
65	278	3940
66	280	3899
67	282	3866
68	283	3829
69	285	3789
70	286	3752
71	289	3725
72	290	3689
73	291	3653
74	293	3617
75	296	3601
76	298	3575
77	300	3553
78	302	3528
79	304	3502
80	307	3487
81	309	3460
82	309	3424
83	311	3394
84	313	3371
85	315	3348
86	316	3320
87	317	3295
88	320	3283
89	322	3259
90	324	3241
91	326	3225
92	328	3204
93	330	3180
94	331	3162
95	333	3143
96	335	3120
97	336	3100
98	338	3084
99	340	3063
100	341	3043
101	343	3027
102	345	3010
103	347	2990
104	348	2970
105	350	2957
106	352	2941
107	353	2922
108	355	2907
109	358	2900
110	360	2883
111	361	2869
112	363	2856
113	365	2841
114	367	2825
115	369	2814
116	370	2797
117	372	2780
118	373	2765
119	375	2752
120	376	2738
121	378	2722
122	380	2711
123	382	2703
124	384	2689
125	385	2676
126	387	2662
127	389	2653
128	391	2641
129	393	2632
130	395	2620
131	396	2607
132	397	2593
133	399	2584
134	401	2572
135	402	2559
136	404	2548
137	406	2539
138	407	2527
139	409	2515
140	411	2507
141	412	2494
142	414	2484
143	416	2473
144	418	2466
145	419	2456
146	421	2445
147	423	2436
148	424	2426
149	426	2415
150	427	2405
151	429	2395
152	431	2386
153	432	2376
154	434	2366
155	436	2362
156	438	2357
157	440	2348
158	442	2341
159	444	2334
160	446	2325
161	448	2318
162	450	2311
163	451	2302
164	453	2292
165	455	2288
166	457	2281
167	459	2274
168	461	2268
169	463	2262
170	465	2256
171	467	2250
